Date Generated,Fiscal Year,REGION/DIVISION,Kinder,Elementary,JHS,SHS                              (Proposed),SHS                              (Actual),TOTAL,Kinder2,Elementary3,JHS4,SHS,TOTAL5,% of Filled Up Items,Unfilled
18-Jul,31-Dec,School Abroad,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,31-Dec,Region I - Ilocos Region,0,65,59,274,274,398,0,0,0,0,0,0%,398
18-Jul,31-Dec,Region II - Cagayan Valley,0,70,70,210,210,350,0,0,0,0,0,0%,350
18-Jul,31-Dec,Region III - Central Luzon,0,64,96,846,846,1006,0,0,0,0,0,0%,1006
18-Jul,31-Dec,Region V - Bicol Region,0,19,69,477,477,565,0,0,0,0,0,0%,565
18-Jul,31-Dec,Region VI - Western Visayas,0,93,99,638,638,830,0,0,0,0,0,0%,830
18-Jul,31-Dec,Region VII - Central Visayas,0,72,159,655,655,886,0,0,0,0,0,0%,886
18-Jul,31-Dec,Region VIII - Eastern Visayas,0,57,23,461,461,541,0,0,0,0,0,0%,541
18-Jul,31-Dec,Deped Region IX - Zamboanga Peninsula,0,37,30,442,442,509,0,4,0,0,4,0.79%,505
18-Jul,31-Dec,Region X - Northern Mindanao,0,53,80,429,429,562,0,0,0,0,0,0%,562
18-Jul,31-Dec,Region XI - Davao Region,0,31,75,527,527,633,0,0,0,0,0,0%,633
18-Jul,31-Dec,Region XII - SOCCSKSARGEN,0,26,38,440,440,504,0,1,1,0,2,0.40%,502
18-Jul,31-Dec,Region XIII (Caraga),0,10,41,209,209,260,0,0,0,0,0,0%,260
18-Jul,31-Dec,MBHTE-BARMM,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,31-Dec,CAR,0,40,69,104,104,213,0,0,0,0,0,0%,213
18-Jul,31-Dec,NCR,0,21,40,639,639,700,0,0,0,0,0,0%,700
18-Jul,31-Dec,NEGROS ISLAND REGION (NIR),0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,31-Dec,Region IV-A (CALABARZON),0,42,88,1137,1137,1267,0,0,0,16,16,1.26%,1251
18-Jul,31-Dec,MIMAROPA Region,0,18,14,273,273,305,0,0,0,0,0,0%,305
18-Jul,31-Dec,SCHOOL ABROAD,,,,,,,,,,,,,
18-Jul,31-Dec,Kingdom of Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,31-Dec,Kingdom of Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,31-Dec,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,31-Dec,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,31-Dec,East Timor,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,31-Dec,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,31-Dec,Sultanate of Oman,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,31-Dec,State of Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,31-Dec,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0
18-Jul,31-Dec,REGION I - ILOCOS REGION,,,,,,,,,,,,,
18-Jul,31-Dec,Ilocos Norte,0,8,1,16,16,25,0,0,0,0,0,0%,25
18-Jul,31-Dec,Ilocos Sur,0,16,20,4,4,40,0,0,0,0,0,0%,40
18-Jul,31-Dec,La Union,0,9,8,39,39,56,0,0,0,0,0,0%,56
18-Jul,31-Dec,"Pangasinan I, Lingayen",0,12,11,105,105,128,0,0,0,0,0,0%,128
18-Jul,31-Dec,"Pangasinan II, Binalonan",0,7,9,34,34,50,0,0,0,0,0,0%,50
18-Jul,31-Dec,Dagupan City,0,0,0,10,10,10,0,0,0,0,0,0%,10
18-Jul,31-Dec,Laoag City,0,1,1,14,14,16,0,0,0,0,0,0%,16
18-Jul,31-Dec,San Carlos City-Region 1,0,3,5,4,4,12,0,0,0,0,0,0%,12
18-Jul,31-Dec,Urdaneta City,0,1,1,5,5,7,0,0,0,0,0,0%,7
18-Jul,31-Dec,Candon City,0,4,0,1,1,5,0,0,0,0,0,0%,5
18-Jul,31-Dec,Alaminos City,0,3,1,7,7,11,0,0,0,0,0,0%,11
18-Jul,31-Dec,Vigan City,0,0,0,18,18,18,0,0,0,0,0,0%,18
18-Jul,31-Dec,San Fernando City-Region 1,0,1,2,14,14,17,0,0,0,0,0,0%,17
18-Jul,31-Dec,Batac City,0,0,0,3,3,3,0,0,0,0,0,0%,3
18-Jul,31-Dec,REGION II - CAGAYAN VALLEY,,,,,,,,,,,,,
18-Jul,31-Dec,Batanes,0,0,0,2,2,2,0,0,0,0,0,0%,2
18-Jul,31-Dec,Cagayan,0,17,16,44,44,77,0,0,0,0,0,0%,77
18-Jul,31-Dec,Isabela,0,19,27,58,58,104,0,0,0,0,0,0%,104
18-Jul,31-Dec,Nueva Vizcaya,0,13,7,47,47,67,0,0,0,0,0,0%,67
18-Jul,31-Dec,Quirino,0,19,6,11,11,36,0,0,0,0,0,0%,36
18-Jul,31-Dec,Tuguegarao City,0,0,10,0,0,10,0,0,0,0,0,0%,10
18-Jul,31-Dec,Cauayan City,0,1,2,14,14,17,0,0,0,0,0,0%,17
18-Jul,31-Dec,Santiago City,0,0,1,26,26,27,0,0,0,0,0,0%,27
18-Jul,31-Dec,City of Ilagan,0,1,1,8,8,10,0,0,0,0,0,0%,10
18-Jul,31-Dec,REGION III - CENTRAL LUZON,,,,,,,,,,,,,
18-Jul,31-Dec,Aurora,0,2,0,12,12,14,0,0,0,0,0,0%,14
18-Jul,31-Dec,Bataan,0,4,10,45,45,59,0,0,0,0,0,0%,59
18-Jul,31-Dec,Bulacan,0,9,16,131,131,156,0,0,0,0,0,0%,156
18-Jul,31-Dec,Nueva Ecija,0,12,14,103,103,129,0,0,0,0,0,0%,129
18-Jul,31-Dec,Pampanga,0,7,3,97,97,107,0,0,0,0,0,0%,107
18-Jul,31-Dec,Tarlac,0,12,11,98,98,121,0,0,0,0,0,0%,121
18-Jul,31-Dec,Zambales,0,4,14,46,46,64,0,0,0,0,0,0%,64
18-Jul,31-Dec,Angeles City,0,0,1,40,40,41,0,0,0,0,0,0%,41
18-Jul,31-Dec,Cabanatuan City,0,1,2,37,37,40,0,0,0,0,0,0%,40
18-Jul,31-Dec,Olongapo City,0,0,1,10,10,11,0,0,0,0,0,0%,11
18-Jul,31-Dec,San Jose del Monte City,0,0,6,50,50,56,0,0,0,0,0,0%,56
18-Jul,31-Dec,San Fernando City,0,3,5,47,47,55,0,0,0,0,0,0%,55
18-Jul,31-Dec,Gapan City,0,0,0,11,11,11,0,0,0,0,0,0%,11
18-Jul,31-Dec,Tarlac City,0,1,2,23,23,26,0,0,0,0,0,0%,26
18-Jul,31-Dec,Munoz Science City,0,0,0,6,6,6,0,0,0,0,0,0%,6
18-Jul,31-Dec,Balanga City,0,1,7,22,22,30,0,0,0,0,0,0%,30
18-Jul,31-Dec,Malolos City,0,3,0,29,29,32,0,0,0,0,0,0%,32
18-Jul,31-Dec,San Jose City,0,3,2,19,19,24,0,0,0,0,0,0%,24
18-Jul,31-Dec,Mabalacat City,0,1,2,7,7,10,0,0,0,0,0,0%,10
18-Jul,31-Dec,Meycauayan City,0,1,0,13,13,14,0,0,0,0,0,0%,14
18-Jul,31-Dec,REGION V - BICOL REGION,,,,,,,,,,,,,
18-Jul,31-Dec,Albay,0,4,2,114,114,120,0,0,0,0,0,0%,120
18-Jul,31-Dec,Camarines Norte,0,1,2,45,45,48,0,0,0,0,0,0%,48
18-Jul,31-Dec,Camarines Sur,0,3,18,142,142,163,0,0,0,0,0,0%,163
18-Jul,31-Dec,Catanduanes,0,3,3,7,7,13,0,0,0,0,0,0%,13
18-Jul,31-Dec,Masbate,0,2,6,48,48,56,0,0,0,0,0,0%,56
18-Jul,31-Dec,Sorsogon,0,1,16,58,58,75,0,0,0,0,0,0%,75
18-Jul,31-Dec,Iriga City,0,0,1,9,9,10,0,0,0,0,0,0%,10
18-Jul,31-Dec,Legaspi City,0,0,2,13,13,15,0,0,0,0,0,0%,15
18-Jul,31-Dec,Naga City,0,1,9,5,5,15,0,0,0,0,0,0%,15
18-Jul,31-Dec,Sorsogon City,0,2,3,6,6,11,0,0,0,0,0,0%,11
18-Jul,31-Dec,Tabaco City,0,2,6,3,3,11,0,0,0,0,0,0%,11
18-Jul,31-Dec,Ligao City,0,0,1,15,15,16,0,0,0,0,0,0%,16
18-Jul,31-Dec,Masbate City,0,0,0,12,12,12,0,0,0,0,0,0%,12
18-Jul,31-Dec,REGION VI - WESTERN VISAYAS,,,,,,,,,,,,,
18-Jul,31-Dec,Himamaylan City,0,2,0,7,7,9,0,0,0,0,0,0%,9
18-Jul,31-Dec,Sipalay City,0,0,2,1,1,3,0,0,0,0,0,0%,3
18-Jul,31-Dec,Aklan,0,3,7,72,72,82,0,0,0,0,0,0%,82
18-Jul,31-Dec,Antique,0,13,8,54,54,75,0,0,0,0,0,0%,75
18-Jul,31-Dec,Capiz,0,1,5,82,82,88,0,0,0,0,0,0%,88
18-Jul,31-Dec,Guimaras,0,10,1,0,0,11,0,0,0,0,0,0%,11
18-Jul,31-Dec,Iloilo,0,25,32,123,123,180,0,0,0,0,0,0%,180
18-Jul,31-Dec,Negros Occidental,0,20,13,115,115,148,0,0,0,0,0,0%,148
18-Jul,31-Dec,Bacolod City,0,0,11,31,31,42,0,0,0,0,0,0%,42
18-Jul,31-Dec,Bago City,0,1,1,2,2,4,0,0,0,0,0,0%,4
18-Jul,31-Dec,Cadiz City,0,2,1,32,32,35,0,0,0,0,0,0%,35
18-Jul,31-Dec,Iloilo City,0,8,9,43,43,60,0,0,0,0,0,0%,60
18-Jul,31-Dec,La Carlota City,0,0,0,5,5,5,0,0,0,0,0,0%,5
18-Jul,31-Dec,Roxas City,0,1,4,5,5,10,0,0,0,0,0,0%,10
