Month,Year,Division,Kinder.c,Elem.c,JHS.c,SHS.c,Kinder.h,Elem.h,JHS.h,SHS.h,Region
18-Jul,2022,REGION I - ILOCOS REGION,NA,NA,NA,NA,NA,NA,NA,NA,REGION I - ILOCOS REGION
18-Jul,2022,Ilocos Norte,0,8,1,16,0,0,0,0,REGION I - ILOCOS REGION
18-Jul,2022,Ilocos Sur,0,16,20,4,0,0,0,0,REGION I - ILOCOS REGION
18-Jul,2022,La Union,0,9,8,39,0,0,0,0,REGION I - ILOCOS REGION
18-Jul,2022,"Pangasinan I, Lingayen",0,12,11,105,0,0,0,0,REGION I - ILOCOS REGION
18-Jul,2022,"Pangasinan II, Binalonan",0,7,9,34,0,0,0,0,REGION I - ILOCOS REGION
18-Jul,2022,Dagupan City,0,0,0,10,0,0,0,0,REGION I - ILOCOS REGION
18-Jul,2022,Laoag City,0,1,1,14,0,0,0,0,REGION I - ILOCOS REGION
18-Jul,2022,San Carlos City-Region 1,0,3,5,4,0,0,0,0,REGION I - ILOCOS REGION
18-Jul,2022,Urdaneta City,0,1,1,5,0,0,0,0,REGION I - ILOCOS REGION
18-Jul,2022,Candon City,0,4,0,1,0,0,0,0,REGION I - ILOCOS REGION
18-Jul,2022,Alaminos City,0,3,1,7,0,0,0,0,REGION I - ILOCOS REGION
18-Jul,2022,Vigan City,0,0,0,18,0,0,0,0,REGION I - ILOCOS REGION
18-Jul,2022,San Fernando City-Region 1,0,1,2,14,0,0,0,0,REGION I - ILOCOS REGION
18-Jul,2022,Batac City,0,0,0,3,0,0,0,0,REGION I - ILOCOS REGION
18-Jul,2022,REGION II - CAGAYAN VALLEY,NA,NA,NA,NA,NA,NA,NA,NA,REGION II - CAGAYAN VALLEY
18-Jul,2022,Batanes,0,0,0,2,0,0,0,0,REGION II - CAGAYAN VALLEY
18-Jul,2022,Cagayan,0,17,16,44,0,0,0,0,REGION II - CAGAYAN VALLEY
18-Jul,2022,Isabela,0,19,27,58,0,0,0,0,REGION II - CAGAYAN VALLEY
18-Jul,2022,Nueva Vizcaya,0,13,7,47,0,0,0,0,REGION II - CAGAYAN VALLEY
18-Jul,2022,Quirino,0,19,6,11,0,0,0,0,REGION II - CAGAYAN VALLEY
18-Jul,2022,Tuguegarao City,0,0,10,0,0,0,0,0,REGION II - CAGAYAN VALLEY
18-Jul,2022,Cauayan City,0,1,2,14,0,0,0,0,REGION II - CAGAYAN VALLEY
18-Jul,2022,Santiago City,0,0,1,26,0,0,0,0,REGION II - CAGAYAN VALLEY
18-Jul,2022,City of Ilagan,0,1,1,8,0,0,0,0,REGION II - CAGAYAN VALLEY
18-Jul,2022,REGION III - CENTRAL LUZON,NA,NA,NA,NA,NA,NA,NA,NA,REGION III - CENTRAL LUZON
18-Jul,2022,Aurora,0,2,0,12,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Bataan,0,4,10,45,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Bulacan,0,9,16,131,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Nueva Ecija,0,12,14,103,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Pampanga,0,7,3,97,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Tarlac,0,12,11,98,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Zambales,0,4,14,46,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Angeles City,0,0,1,40,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Cabanatuan City,0,1,2,37,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Olongapo City,0,0,1,10,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,San Jose del Monte City,0,0,6,50,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,San Fernando City,0,3,5,47,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Gapan City,0,0,0,11,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Tarlac City,0,1,2,23,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Munoz Science City,0,0,0,6,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Balanga City,0,1,7,22,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Malolos City,0,3,0,29,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,San Jose City,0,3,2,19,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Mabalacat City,0,1,2,7,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Meycauayan City,0,1,0,13,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,REGION V - BICOL REGION,NA,NA,NA,NA,NA,NA,NA,NA,REGION III - CENTRAL LUZON
18-Jul,2022,Albay,0,4,2,114,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Camarines Norte,0,1,2,45,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Camarines Sur,0,3,18,142,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Catanduanes,0,3,3,7,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Masbate,0,2,6,48,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Sorsogon,0,1,16,58,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Iriga City,0,0,1,9,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Legaspi City,0,0,2,13,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Naga City,0,1,9,5,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Sorsogon City,0,2,3,6,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Tabaco City,0,2,6,3,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Ligao City,0,0,1,15,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,Masbate City,0,0,0,12,0,0,0,0,REGION III - CENTRAL LUZON
18-Jul,2022,REGION VI - WESTERN VISAYAS,NA,NA,NA,NA,NA,NA,NA,NA,REGION VI - WESTERN VISAYAS
18-Jul,2022,Himamaylan City,0,2,0,7,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Sipalay City,0,0,2,1,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Aklan,0,3,7,72,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Antique,0,13,8,54,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Capiz,0,1,5,82,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Guimaras,0,10,1,0,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Iloilo,0,25,32,123,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Negros Occidental,0,20,13,115,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Bacolod City,0,0,11,31,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Bago City,0,1,1,2,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Cadiz City,0,2,1,32,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Iloilo City,0,8,9,43,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,La Carlota City,0,0,0,5,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Roxas City,0,1,4,5,0,0,0,0,REGION VI - WESTERN VISAYAS
